user_location,text
"Nairobi, Kenya","Dear Kenyans , you have not seen Uhuru yet. President Kenyatta is capable of anything. Some of you are only loud on… https://t.co/gV36i1qwKz"
Nairobi,"Invest in training that supports CBC, President Kenyatta tells universities: President Uhuru Kenyatta has asked uni… https://t.co/LmkjDGox4j"
Kenya,"Its worth reminding y'all that,  the same was introduced by Uhuru Kenyatta while he was the minister of finance to… https://t.co/ofr3gN1G7r"
,"CJ koome thanks for that opinion,now you are full and current CJ of kenya take Time with Mr President Uhuru muigai… https://t.co/1K1ver3ak2"
Nairobi,Raila accuses Ex-CJ Mutunga of hypocrisy for criticizing President Kenyatta: The recent move by Retired Chief Justi… https://t.co/yaYS3v9aMX
,Nelson Havi won the sympathy of his colleagues and appointed him to lead them.... Now he thinks he can lecture the… https://t.co/mMArZQYk2s
"Nairobi, KENYA",President Uhuru Kenyatta signs at Aga Khan University after Charter and ... https://t.co/lXyrKigPt7 https://t.co/3Smdjw5lEx
Lives in Emurua dikirr Narok ,@CNN I don't see my president here.. Uhuru Kenyatta😅
"Nairobi, KENYA",President Uhuru Kenyatta tours Aga Khan University after Charter and Cen... https://t.co/xzQvjeocuH https://t.co/oKB9krAgP9
"York, England",President Uhuru Kenyatta should transfer kenya airways and other loss making state corporations to the military...Thank me later
Kenya,"@AnneWaiguru The Contractor should ensure that the Stadium is completed on time and ready for the Big Day. 

Kiriny… https://t.co/4YmWltp9yg"
"Nairobi, Kenya",Former Inspector General of Police David Kimaiyo says the back and forth confrontations between the Judiciary and P… https://t.co/rbojNqjfSU
,@ahmednasirlaw Uhuru Kenyatta's whattsup will surprise many kenyans even his brother in handshake and BBI nonsense… https://t.co/T1QnOk7Fpp
"Nairobi, Kenya",The Aga Khan University received its Charter from President Uhuru Kenyatta and inaugurated its new $50 million stat… https://t.co/xE4oy8cjpd
,The Aga Khan University received its Charter from President Uhuru Kenyatta and inaugurated its new $50 million stat… https://t.co/LFAu4UyvKZ
East Africa,The Aga Khan University received its Charter from President Uhuru Kenyatta and inaugurated its new $50 million stat… https://t.co/1FAgwzqzUZ
,@LichinaL @John____Bryan @ahmednasirlaw You nobody knows what is in the heart of Uhuru Kenyatta.  A lot of speculat… https://t.co/ppPpkatoVZ
Africa,#NewsUpdate: President Uhuru Kenyatta has awarded a Charter to The Aga Khan University-Kenya and inaugurated its ul… https://t.co/ZrqcG3OAOg
Nairobi,"MOMBASA ROAD EXPANSION.
DEVKI Junction near Athi River offers a unique view of the magnitude of what President Uhur… https://t.co/5FQN5iaW9O"
"Amboseli Gardens, Lavington ","ICYMI: The Kenya High Court has repealed an executive order by President Uhuru Kenyatta in re-organizing 
the gover… https://t.co/RrJk9XDLOh"
Kenya ,Everything in President Uhuru Kenyatta is unconstitutional Even The Salaries
Nairobi,Considering recent rulings by the judiciary that President Uhuru Kenyatta's decisions/actions have been unconstitut… https://t.co/8QyIxYwofL
"Nairobi, Kenya",Everything in President Uhuru Kenyatta's Government is unconstitutional
"Nairobi, Kenya","President Uhuru Kenyatta awards Charter to The Aga Khan University-Kenya, inaugurates its ultra-modern campus in Pa… https://t.co/nXd2sPGhEG"
"Nairobi, KENYA",President Uhuru Kenyatta preside award of Charter at Aga Khan University... https://t.co/yE5i8F8SwB https://t.co/yUpFVPXKRS
"Nairobi, Kenya","@Ma3Route @OretaChalla President Uhuru Kenyatta arrives at The Aga Khan University in Parklands, Nairobi County to… https://t.co/93X2i6WG4x"
Kenya 🇰🇪 ,President Uhuru Kenyatta vs the Judicial Service Commission. Judicial officers are supposed to inspire confidence i… https://t.co/lVyl7Qr7dd
,"If you scrutinize the recent actions of President Uhuru Kenyatta, you'll find that it's a mirror reflection of what… https://t.co/TDy3yVgGqT"
"Nairobi, Kenya",Between President Uhuru Kenyatta and JSC who is right? And where did these feud start? https://t.co/Q51pX4ooYz
Kenya | Nairobi,Chief Justice Martha Koome has said President Uhuru Kenyatta has no way out but to appoint the six remaining judges… https://t.co/d0Kz3d1jEH
"Amboseli Gardens, Lavington ","The Kenya High Court has repealed an executive order by President Uhuru Kenyatta in re-organizing 
the government.… https://t.co/TUKVgox0Le"
,@StateHouseKenya @AKUGlobal @AKUMCEA @AKU_GSMC @EduMinKenya President Uhuru Kenyatta is fixing the education sector… https://t.co/yuNohLvfdd
,"President Uhuru Kenyatta, Education CS Prof. George Magoha and PS University Amb. Simeon Nabukwesi attend The Aga K… https://t.co/uuikwEvgPE"
"Nairobi, Kenya","President @NelsonHavi vs President Uhuru Kenyatta over and over again😂

#Nairobi Metropolitan Services
#High Court… https://t.co/pTiuoJXfHy"
"Nairobi, Kenya","President Uhuru Kenyatta arrives at The Aga Khan University in Parklands, Nairobi to preside over the award of Char… https://t.co/Y8huRQertb"
"Nairobi, Kenya","President Uhuru Kenyatta at The Aga Khan University in Parklands, Nairobi County. https://t.co/kuNhY4qr7v"
Kapenguria,By squashing Nairobi Metropolitan Services the hight court may be provoking President Kenyatta we may see a different Uhuru towards 2022.
"Nairobi, Kenya","President Uhuru Kenyatta arrives at The Aga Khan University in Parklands, Nairobi County to preside over the award… https://t.co/efPF45WzHT"
Nairobi Kenya,Nairobi Metropolitan Services (NMS) declared unconstitutional by the High Court in a petition filed by Law Society… https://t.co/N2QKb6XSYh
"Nyahururu, Kenya",President Uhuru Kenyatta has no option but approve the 6 judges otherwise he will leave office will a bad legacy in the eyes of Kenyans.
"Kisii, Kenya,Masimba ward",UPDATE: Chief Justice Martha Koome now says that all 6 judges that were left out by President Uhuru Kenyatta must b… https://t.co/raJBPG76CM
"Nairobi, Kenya","Do you think Nelson Havi has played his role as the President of LSK?

Sonko Attorney General I High Court
Nairobi… https://t.co/OSH5n4e3r9"
Kenya,UPDATE: Chief Justice Martha Koome now says that all 6 judges that were left out by President Uhuru Kenyatta must b… https://t.co/bp5ZzNyzyi
"Nairobi, Kenya",Congratulations to @AKUMCEA on grant of charter by H.E President Uhuru Kenyatta #UniversityCentreAKU 6 https://t.co/WCWadGcmem
"Nairobi, Kenya",CJ Martha Koome reiterates her call to President Uhuru Kenyatta to appoint the six judges https://t.co/QubvuW1NkQ
"Nairobi, Kenya",CJ Martha Koome reiterates her call to President Uhuru Kenyatta to appoint the six judges https://t.co/dFTCosiJE6
,@kazi_mtaani @StateHouseKenya @PSCharlesHinga @HousingUrbanKE @TheKISIP We say Alhamthulillah for having such a lea… https://t.co/Bpmh6wqaJm
Nairobi,President Uhuru Kenyatta signs the Charter for Aga Khan University (@AKUGlobal) #UniversityCentreAKU https://t.co/achw7hfsHI
"Nairobi, Kenya",The thought process in President Uhuru Kenyatta and Attorney General Kihara Kariuki's minds whenever they consider… https://t.co/SbUxqepskc
"Nairobi, Kenya",Chief Justice Martha Koome has once again asked President Uhuru Kenyatta to appoint the six remaining judges recomm… https://t.co/oCmkojiPPr
Nairobi,Koome: President Kenyatta should appoint six omitted judges: Chief Justice Martha Koome has once again asked Presid… https://t.co/sxsZ1DzJBb
Planet Earth,@ntvkenya I told you guys that Ruto will be exiting from the government anytime from the last quarter of jubilee go… https://t.co/Gadd8NYgxv
Nairobi,"President Uhuru Kenyatta to Award Charter to Aga Khan University (@AKUGlobal) 

Livestream: https://t.co/bXkHpH5JgU https://t.co/lNJmZUAvOK"
"Nairobi, Kenya","The courts are ruling everything UNCONSTITUTIONAL without looking at the implications/ solutions!
'Management is DO… https://t.co/x3mVkchOew"
"New Delhi, India",@AmbMKamau The dynamic and Africa Friendly Indian PM Modiji had built a strong bond with Kenyan President Uhuru Ken… https://t.co/9sNZWYC9MQ
"Giza, Egypt","Abiy Ahmed, a Prime Minister of #Ethiopia.
Uhuru Kenyatta, a President of #Kenya.
Salva Kiir, of #SouthSudan 
Yower… https://t.co/XdXLL139Bg"
"Nairobi, Kenya",Chief Justice Martha Koome stated that all 6 judges that were left out by President Uhuru Kenyatta must be appointe… https://t.co/ijTs3e5JUT
Here and there,“I reiterate my position as CJ and Chair of JSC to state that all persons recommended by JSC MUST be appointed as j… https://t.co/IRJIim3J6p
Kenya,"KITUI, A MODEL COUNTY AND PACE SETTER IN MANUFACTURING

President Uhuru Kenyatta’s huge allocation to local manufac… https://t.co/aVyhNwqZV1"
Kenya,Constitutional lawyer @ahmednasirlaw has raised questions regarding the legal advice Attorney General Paul Kihara h… https://t.co/FFb7dOWNHV
"Nairobi, Kenya",President Uhuru Kenyatta's massive investment in infrastructure is a stuff of dreams for many African countries. Wa… https://t.co/f2AqPR1mGU
"Nairobi, Kenya",@cobbo3 President Uhuru Kenyatta's massive investment in infrastructure is a stuff of dreams for many African count… https://t.co/DvwkbMwm7o
"Nairobi, Kenya",@nokajaafa @lawsocietykenya Big question there. The gov't will appeal most likely. And does President Uhuru Kenyatt… https://t.co/yHO92cDASt
"Nairobi, Kenya","President Uhuru Kenyatta must appoint the remaining six judges recommended by JSC, Chief Justice Martha Koome reite… https://t.co/fWXwZYjwV8"
🇰🇪🇨🇦,"BREAKING NEWS: High Court declares Uhuru Kenyatta's weight gain unconstitutional. In his ruling, the judge observed… https://t.co/H9AteAT1BC"
"Nairobi, Kenya","AG Kihara Should Resign- Ahmednasir says after Courts nullified 4 of Uhuru’s orders

Lawyer Ahmednasir Abdullahi ha… https://t.co/BQx8GS1F2I"
,The High Court has declared Nairobi Metropolitan Services (NMS) unconstitutional...but will President Uhuru kenyatt… https://t.co/NjlHLME6an
,"The rate at which Uhuru Kenyatta is violating court orders and breaking the law is alarming, maybe hes bot even the… https://t.co/ts7BIRiRsK"
nairobi,"I am the one person and maybe with uhuru kenyatta who have lost faith in our judicial system ,I there for ask the p… https://t.co/4pMSelNWum"
East Africa ,President Uhuru Kenyatta legacy can be summarized as UNCONSTITUTIONALISM
Kenya,LSK President Havi just likened Uhuru Kenyatta's dictatorial obsession to control judiciary to Nazi Germany. That w… https://t.co/Zhhd8iSPUP
Nairobi,"@citizentvkenya President Uhuru Kenyatta suffering a series of court battle defeats.
This dude must be cursed🙆🏿‍♂️
#Nairobi #NMS"
"Nairobi, Kenya",The Maasai community in Kajiado has asked President Uhuru Kenyatta to order the military to stop building Kenya Mea… https://t.co/EkshTpSbrt
"Mombasa, Kenya.","The Executive Order No. 1 of 2020, dated January 14, 2020, placing #Kenya's @Kenyajudiciary under the control of Ke… https://t.co/i3K0jYBur3"
"Nairobi, Kenya","Alaah!!
What has President Uhuru Kenyatta really done that isn't Unconstitutional honestly? https://t.co/XQZ0jXuciP"
Nairobi,"Martha Koome to President Uhuru Kenyatta,
- the remaining 6 Judges must be sworn in. I won't allow judicial indepen… https://t.co/NF0KEJAroK"
"Nairobi, Kenya","Either Paul Kihara Kariuki had failed as AG or Uhuru Kenyatta as President ignores his advice. Whichever the case,… https://t.co/uuudvCQd5Q"
"Ebulonga, Vihiga County, Kenya",Fire 🔥 AG Kihara Mr President Uhuru Kenyatta. The has State has lost all cases in court.The man incompetent.… https://t.co/kTitkb8Ijk
,Blow to President Uhuru Kenyatta as High court declares Nairobi Metropolitan Service (NMS) unconstitutional. https://t.co/KQBTQf8cnC
"Nairobi, Kenya",@MarkBichachi The judiciary is checking the govt on its extemes . With the determination President Uhuru Kenyatta h… https://t.co/8fzk4t4AEn
Nairobi.,Chief Justice Martha Koome maintains that President Uhuru Kenyatta has no choice but to appoint the remaining SIX j… https://t.co/5P6lAGHlaN
"Kampala, Uganda",Museveni said he would reach out to Kenya President Uhuru Kenyatta to deal with Karamojong and Turkana cattle rustl… https://t.co/qlnv1q48qT
"Kilimani Ward, Nairobi, Kenya ",President Uhuru Kenyatta will be remembered for exempting NIC &amp; CBA from paying Taxes while nailing locally owned K… https://t.co/439ywVvvBC
nairobi,"After Nairobi Metropolitan Services declared Null and Void,
President Uhuru Kenyatta rn: https://t.co/PfF6KPFTxA"
"Mombasa, Kenya",We are behind president Uhuru Kenyatta 100%. NMS is here to stay. Judiciary must avoid making rulings that won't be… https://t.co/KLXlbh9zoY
"Nairobi, Kenya",The High Court has declared Nairobi Metropolitan Services (NMS) unconstitutional in a petition filed by Law Society… https://t.co/3wqz8hcOji
"Nairobi, Kenya","H.E. Uhuru Kenyatta, President of the Republic of Kenya will be the Chief Guest at the Charter Granting Ceremony an… https://t.co/ofvb7IajdN"
,"H.E. Uhuru Kenyatta, President of the Republic of Kenya will be the Chief Guest at the Charter Granting Ceremony an… https://t.co/BLY6pxpchp"
,"@mburajunior I agree, Reproduction organ cannot be used to condemn great brains of Maraga  and Mutunga.Uhuru Kenyat… https://t.co/KGG1RCRKeu"
East Africa,"H.E. Uhuru Kenyatta, President of the Republic of Kenya will be the Chief Guest at the Charter Granting Ceremony an… https://t.co/nqTRltqv94"
"Nairobi, Kenya",Nairobi Metropolitan Services (NMS) declared unconstitutional by the High Court in a petition filed by Law Society… https://t.co/k1vkisiGcd
"Nairobi, Kenya",Another unconstitutional ruling against the executive what is the national assembly waiting to impeach the incompet… https://t.co/RBfwkxwjws
"Nairobi, Kenya","My beloved President, UHURU KENYATTA is KANU and KANU is UHURU..Kenya needed  an imperial from KANU,,,not hypocrite… https://t.co/8smKrTSXBl"
,So even NMS was put there by UHURU KENYATTA illegally!!!! Anything my president touches now is illegal.
KENYA-NAIROBI,@EtalePhilip President Uhuru Kenyatta started it ours is to watch the drama
"Nairobi, Kenya","Five, the remaining four Judges of the Court of Appeal must be gazetted and sworn-in pronto. President Uhuru Kenyat… https://t.co/nTTgFi6DCd"
"Nairobi, Kenya",It is just as you said SC. Either Hon. Justice (Rtd) Kihara is incompetent or President Uhuru Kenyatta has no time… https://t.co/TtGDLYiZSr
"Meru, Kenya","Surprised that a man of paul Kihara statue must start any paragraph by Congratulating President Uhuru Kenyatta..
For what.

Nonsense!"
"Nairobi, Kenya 🇰🇪🇰🇪",@itsnyakoecaleb Mr. Uhuru Kenyatta may end up creating a county of his own. We need learned friends to tell whether… https://t.co/OnttjO9N79
"Nairobi, Kenya",@LamechNyakoe Haha then the powers vested on the president under article 132 should be annulled as well. The Judici… https://t.co/OSwbUlbu8W
"Mombasa, Kenya","In March 2020, His Excellency President Uhuru Kenyatta announced a stimulus package designed to help the country th… https://t.co/AkgrX9FilL"
"Nairobi, Kenya",UHURU KENYATTA is alot of things but he sure is not a Lame duck president.  In Kibaki presidency a time like this h… https://t.co/bzXQ4zDSFF
Africa,"Since Paul Kihara Kariuki became 
Attorney General of Kenya, all President Uhuru Kenyatta has done is termed as eit… https://t.co/ya0KFe3ZyR"
"Nairobi, Kenya","By that Executive Order President Uhuru Kenyatta had annexed the Judiciary, its Tribunals, Commissions and Independ… https://t.co/2RR2lFuajy"
Nairobi,LSK President Nelson Havi wants Parliament to impeach President Uhuru Kenyatta for allegedly violating the constitution.
CIS HQ,"These days Presidents &amp; Prime Ministers go beaching?, @POTUS and @BorisJohnson had it breathed in the Shores fresh… https://t.co/FSDIDcO4Dm"
Kenya,President Uhuru Kenyatta will be remembered for disregard of the law and court orders. The NMS has been declared un… https://t.co/Sn48YiuDuE
"Kilimani Ward, Nairobi, Kenya ","SC Ahmednasir Abdullahi asked why President Uhuru Kenyatta can claim that Ksh 2 Billion is stolen daily, but he doe… https://t.co/mPDS9bJYVB"
,#JudgingJudges Blow to President Uhuru Kenyatta as High Court declares Nairobi Metropolitan Services (NMS) UNCONSTI… https://t.co/hTeiYWvyqS
Nairobi,"Maendeleo Ya Wanawake says, former CJs David Maraga &amp; Willy Mutunga offered opinions to President Uhuru Kenyatta, b… https://t.co/rJyfnRV1kZ"
"Nairobi, Kenya","The duo launched scathing attacks against President Uhuru Kenyatta over what they say is ""disregarding the rule of… https://t.co/I9Re1WE8ro"
"Mombasa, Kenya",President Uhuru Kenyatta has Restored our Prospects of growth in the marine and blue economy Development… https://t.co/Lgr8IHZIv3
"Mombasa, Kenya",In the Aquaculture Industry the administration of President Uhuru Kenyatta has enhanced it through investment of di… https://t.co/E7X5tnxcjt
,CJ Martha Koome CANNOT run away from the fact that she is the head of a Judiciary that issued an order compelling P… https://t.co/Ph9vrfT9GE
kwa mansion,The Big 4 Agenda has been the major focus for President Uhuru Kenyatta. 142.1B will be a major boost in the impleme… https://t.co/BXbn9iyKz7
"Mombasa, Kenya",@njikafelix And that's what president Uhuru Kenyatta is doing #CovidRecoveryBudget
Tel: +254 737 530 290/ +254 725 286 689,Treasury CS Ukur Yatani has boosted President Uhuru Kenyatta’s election pledge to issue titled deeds with a Sh1.5 b… https://t.co/5vL51py9gh
Kenya,"Food security is at the Core of The agenda of HE President Uhuru Kenyatta administration

Billions of shillings set… https://t.co/8ExJultQOQ"
,"🇰🇪 H. E. President UHURU MUIGAI KENYATTA CGH Sir, 
will be opening Aga Khan University today at 2.00pm. 
Expect tra… https://t.co/39xhZvRgOt"
,"🇰🇪 H. E. President UHURU MUIGAI KENYATTA CGH Sir, 
will be opening Aga Khan University today at 2.00pm. 
Expect tra… https://t.co/6eSH9PHiA1"
"Nairobi, Kenya",Renowned Kenyan Women body Maendeleo ya Wanawake has under criticism over its recent statement attacking former Chi… https://t.co/BpFixIGp60
,"The Executive arm of government,led by President Uhuru Kenyatta, will receive Sh1.89 trillion,a marginal 1 per cent… https://t.co/RYjLi90D6C"
9 3/4,The Treasury has doubled the allocation for construction of affordable houses as the State races against time to de… https://t.co/fuRhUGzyHE
"Nairobi, Kenya","Ksh.47.7B Allocated For Universal Health Coverage ( UHC) and Ksh.14.3B for procurement of Covid Vaccine.
Universal… https://t.co/QvO618fEee"
Uasin Gishu County,President Uhuru Kenyatta had to come up with economic measures to increase the supply of credit to the private sect… https://t.co/6n5qgGLMex
"Bomet, Kenya. ",Kenyan top officials led by President Uhuru Kenyatta have shown solidarity with the many Kenyans through a reductio… https://t.co/k4NPKMAxOK
,The High Court has quashed an executive order issued by President Uhuru Kenyatta last year that sought to place the… https://t.co/VAjdRVlybK
,Lower your expectations and normalize living within your means.Don't be like President Uhuru Kenyatta!#BudgetKe2021
Uasin Gishu County,One of the economic measures that President Uhuru Kenyatta adopted was reduction of salaries. This was a big boost.… https://t.co/LdLRwYu5tu
"Nairobi, Kenya","Yes, we have to focus on PRIORITIES. President Uhuru Kenyatta's Government knows this. They have budgeted for the v… https://t.co/UPjCoWsX2o"
"Nairobi, Kenya","Kenya's FY 2021/2022 Budget, which is President Uhuru Kenyatta's penultimate budget, is an ECONOMIC STIMULUS EXPEND… https://t.co/fsoW2M2mMK"
🇰🇪,"The Executive arm of government, which is led by President Uhuru Kenyatta, will receive Sh1.89 trillion… https://t.co/C0QZ7Z9nGS"
"Nairobi, Kenya ",@davidmakali1 @RailaOdinga You find many people blaming @RailaOdinga in that the opposition is in bed with… https://t.co/YqzXAMiyk7
"Nairobi, Kenya","President Uhuru Kenyatta’s development blueprint, The Big 4 Agenda which comprises of Food Security; Affordable Hou… https://t.co/yUehG6pkL1"
"Nairobi, Kenya","The Kenyan youth, the beneficiaries of KAZI MTAANI requested President Uhuru Kenyatta to continue with the program… https://t.co/3CL6UTZoB8"
kejani,"In 2018, President Uhuru Kenyatta committed that Kenya would incrementally increase its national budget allocation… https://t.co/prSLwQzqVA"
Kenya,"Our Devolved units have been well catered in the current budget 

The increase in revenue allocation to our countie… https://t.co/CpSDFOCryb"
Africa,President Kenyatta Faults High Court Ruling on BBI as Days to File Written Submissions Lapses… https://t.co/zkRVKsmxyM
Nairobi,"President Uhuru Kenyatta sets 5000 illegal firearms, offers jobs to youth who make homemade guns… https://t.co/yKjIXzcVzl"
,President Uhuru Kenya started an ambitious project called the Kenya Affordable Housing Project. Through this projec… https://t.co/xnA3SSRSqo
kwa mansion,@RoadAlertsKE President Uhuru Kenyatta has really done a good job in increasing connectivity through the road infra… https://t.co/GiZncVqVCb
"Nairobi, Kenya",Garissa Town Member of Parliament Aden Duale has absolved President Uhuru Kenyatta of blame regarding Kenya’s high… https://t.co/gZBTVa1Rve
"Nairobi, Kenya","In a move to hasten President Uhuru Kenyatta's legacy agenda before the end of his 2nd term next year, Yatani has i… https://t.co/j7wumnu26L"
"Nairobi, Kenya","@bonifacemwangi What I see in my opinion is that uhuru KENYATTA shall extend his term as PRESIDENT of Kenya 
Kenya… https://t.co/SjV6DZldW1"
Kenya,"In 2018, H.E President Uhuru Kenyatta committed that Kenya would incrementally increase its national budget allocat… https://t.co/BM7mn0DAct"
East Africa,"Uhuru Kenya started an ambitious project called the Kenya Affordable Housing Project. Through this project, Preside… https://t.co/fWrbCKiDzr"
"Black, Earth ","In March 2020, His Excellency President Uhuru Kenyatta announced a stimulus package designed to help the country th… https://t.co/wnOsGKh4MD"
Ainamoi Kenya,@harunirungu3 Most of the major land disputes and titles deed conflicts will be solved during this 10 years era und… https://t.co/XFAqV5LzuI
"Nairobi, Kenya","The Government will not tolerate leaders who fuel inter-clan conflicts and blame it on terrorism, President Uhuru K… https://t.co/WSzEOhuNCw"
Nairobi.,"Uhuru Kenya started an ambitious project called the Kenya Affordable Housing Project. Through this project, Preside… https://t.co/MNXjrlCbvM"
Kenya | Nairobi,President Uhuru Kenyatta has faulted the High Court decision that scuttled the Building Bridges Initiative in his l… https://t.co/aTj3rixgyp
"Nairobi, Kenya","Uhuru Kenya started an ambitious project called the Kenya Affordable Housing Project. Through this project, Preside… https://t.co/MU1w2NLVxp"
"Nairobi, Kenya","The High Court has quashed an Executive Order issued last year by President Uhuru Kenyatta, re-organising the gover… https://t.co/SvoTKYp4KY"
,Just see where the government is taking us https://t.co/BsZ0tr7O23 https://t.co/ONSsuSHHQR
Kenya,UPDATE: President Uhuru Kenyatta accuses the five-judge bench that declared BBI unconstitutional of being unfair; s… https://t.co/YbZYnJzOCb
"Nairobi, KENYA",DP Ruto ignores President Uhuru Kenyatta''s directive on ban of politica... https://t.co/Nq6Isdnk5D
"Western Australia, Australia","@DonaldBKipkorir Bro, nowadays I don’t like commenting on these matters but I can try here: Let’s all agree the PRE… https://t.co/CBMSo394JA"
Kenya | Nairobi,"President Uhuru Kenyatta yesterday described the late Kalembe Ndile, former MP for Kibwezi, as a selfless leader wh… https://t.co/wOR9EfuDuW"
"2nd Flr, DSM Place, Kijabe St.",President Uhuru Kenyatta has accused the five judge bench which declared the drive for constitutional change of tak… https://t.co/cZiED4jQH6
"Busia, Kenya",@Kiplimohkemboi The two former CJs did NOT attack her. Their attack was directed at the President of Kenya. And the… https://t.co/OlV11dLLz3
Kenya,"""If we continue to develop Kenya's livestock sector, we'll reduce poverty significantly in a few years.""

President… https://t.co/mevdflRP1Y"
Nairobi,"Govt allocates Sh310bn to complete infrastructural projects: NAIROBI, Kenya June 10 - The government has set aside… https://t.co/2bybgVKlqN"
Kenya,What would it cost to impeach President Uhuru Kenyatta and what would be the implications considering we are 1 year… https://t.co/i5uEaMWTfV
NAIROBI,Prof. Edward Kisiangani: The courts have saved Raila and President Uhuru Kenyatta from total embarrassment. They sh… https://t.co/oWB4q66aBD
🚶🚶 ,"Today president Uhuru Kenyatta will sign BBI Bill after 98% voted YES in a referendum .

Nobody can stop Reggea https://t.co/xPgTtOjYuM"
"Nairobi, Kenya",Alot has been said about president Uhuru Kenyatta and judiciary. But he remains the head of state and government
,“#Kenya's President Uhuru Kenyatta on Tuesday evening urged the #Ethiopian gov’t to consider opening up opportuniti… https://t.co/tad494hTOw
Kenya,President Kenyatta should forward the NIS report to the Judicial Service Commission so that they can set up a tribu… https://t.co/jz6RZmH4m5
🇭🇰 🇰🇪 ,"@citizentvkenya @NelsonHavi Uhuru Kenyatta has gone Rogue, he has continously Violated the same constitution that e… https://t.co/HE1cGAfImC"
"York, England",President Uhuru Kenyatta should transfer kenya airways and other loss making state corporations to the military...Thank me later
Kenya,"POLITICSKE : Elders lay ground for Ruto's crowning as Kalenjin kingpin
The Myoot council of elders had sanctioned D… https://t.co/W8RHe1bYWS"
"Nairobi, Kenya",@dkmaraga @Kenyajudiciary  You are all blaming President Uhuru Kenyatta. Do you know that the president has the pow… https://t.co/qXoGR6AiAF
Kenya,"How many times will the president of Kenya Uhuru Kenyatta break the law and go unpunished? There is a problem.
Uhur… https://t.co/ufRyVSXCe3"
,@YvonneOkwara has always been very emotional on matters that touches on President  Uhuru  Kenyatta. makasiriko that… https://t.co/33OQk6wufG
,"@NelsonHavi But we should go for the Attorney General office first ,he has been misleading president uhuru muigai Kenyatta. bad job."
"Nairobi, Kenya",Boost for devolution as Counties Get Kshs. 410B from the Budget. The increment coming following a pledge by Preside… https://t.co/shoZWRdibz
,@AKUGlobal will receive its Charter from Kenyan President Uhuru Kenyatta and will inaugurate a new state-of-the-art… https://t.co/PkC5oSoUHe
From kitale,We'll only REMEMBER PRESIDENT UHURU  KENYATTA for REFUSING to OBEY COURT ORDERS and MY FELLOW KENYANS #NewsGang
,"@LibanAmer @Blackvane5 KENYA ENJOYS THE SUPPORT OF ZOOMALI REFUGEES LIVING FREELY FROM NAIROBI TO GAARISA, UNLIKE F… https://t.co/1lnbBD2pFi"
Nairobi,@citizentvkenya @Fchurii borrowing &amp; excess taxation is unnecessary for there's a DEBT FREE FUNDING of 5B US$ per P… https://t.co/2IFX5ZBKLH
,President Uhuru Kenyatta and Former Prime Minister @RailaOdinga will be remembered in History as two People who Bet… https://t.co/HUcnBIMfMt
"Eldoret, Kenya","Since handshake took place, president Uhuru Kenyatta's big 4 agendas have been running smoothly.,, scandals have re… https://t.co/BcrXGux1Su"
"Bungoma County,Kenya",@NationAfrica What explanation will president Uhuru Kenyatta give
,It’s shameful for you retired@ CJ Maraga to blame president Uhuru Kenyatta while you absconded your duty and refuse… https://t.co/oRFVSRFGCt
"Nairobi, Kenya","If all leaders are chosen by God, why Kenya? I doubt if President Uhuru Kenyatta was chosen by God. This guy was ch… https://t.co/Js0lcmZnzJ"
Nairobi,"Executive Out of Order:

High Court declares President Uhuru Kenyatta's Executive Order Number One of 2020, unconst… https://t.co/G9zmvizVMF"
Kenya,"President Uhuru Kenyatta challenges High Court's judgment that nullified the BBI, claiming his rights were violated… https://t.co/mCczuCdAoC"
"Nairobi, Kenya",High Court has declared as unconstitutional President Uhuru Kenyatta's executive order which gave birth to NMS.… https://t.co/GE9zEUgvPS
Kenya,Former CJ David Maraga: We risk descending into a banana republic.  The only thing left is for the Parliament to im… https://t.co/0J9zSCM0Jd
"Kisumu, Kenya","@ntvkenya @SafaricomPLC @HuaweiKenya Government of Kenya, and #UhuruKenyatta should not be publicly promoting busin… https://t.co/rdbq7JTfoa"
Lamu,@silasjakakimba #baba never abandoned #NASa friends. Rather his friends were scared &amp;were not ready 2support… https://t.co/MEEj1vKpBz
"Nairobi,Kenya.",#UhuruKenyatta is a genius #mukhisakituyi @solution_X_ @Sesyline_KE @CisNyakundi https://t.co/hWeng8fvJ7
"ÜT: -1.2766623,36.789368","So #uhurukenyatta has gone for a $1b #eurobond, with his personal bank #NCBA being a manager for the facility. Mone… https://t.co/TXWFxVTvRN"
,"Please subscribe to my YouTube channel to see  #HowRutoSabotagedUhuru
https://t.co/FTZEAmNaz4

#GideonMoi, #Uhuru,… https://t.co/WWCd5WoM9y"
"Nairobi, Kenya","I think about these 2 pictures from time to time

What they show off....       Vs          Reality....

#Kenya… https://t.co/n65vHNJQKk"
National Capital Region,"Kenya’s COVID-19 response: Chaos amid lack of information 
https://t.co/DyOxZlDXrb 
#Kenya #covid19response #Chaos… https://t.co/U3R0FVnNO9"
"Nairobi, Kenya",.@TheODMparty director of communications @EtalePhilip has narrated how the late Gem MP Jakoyo Midiwo was manhandled… https://t.co/UklZxntRzd
Nairobi Kenya,"Meanwhile in London, there were demonstration about president #UhuruKenyatta  ... https://t.co/9vMnbX0izp"
Kenya,"THIS SEEMS INTERESTING!!!!
#AzziadAt21 #ShameOnYouPeopleDaily
#CongratulationsAtwoli
#winmetawin #williamRuto… https://t.co/trlsdFPEgE"
